clients,labroides_dimidiatus,bodianus_axillaris,thalassoma_lunare,coris_batuensis,halichoeres_melanurus,ancylomenes_holthuisi,urocaridella_a,urocaridella_b
parupeneus_indicus,0,0,0,1,0,0,0,0
parupeneus_multifasciatus,1,0,0,0,0,0,0,0
plectorhinchus_chaetodontoides,1,0,0,0,0,0,0,0
plectroglyphidodon_lacrymatus,1,0,0,0,0,0,0,0
plectropomus_leopardus,1,1,0,0,0,0,0,0
pomacanthus_sexfasciatus,1,0,0,0,0,0,0,0
pomacentridae,0,0,0,0,1,0,0,0
pomacentrus_adelus,1,0,0,0,0,0,0,0
pomacentrus_amboinensis,1,0,1,0,0,0,0,0
pomacentrus_brachialis,1,0,0,0,0,0,0,0
pomacentrus_brown,1,0,0,0,0,0,0,0
pomacentrus_burroughi,0,0,0,0,0,2,0,0
pomacentrus_grammorhynchus,1,0,0,0,0,0,0,0
pomacentrus_moluccensis,1,0,0,0,0,0,0,0
pomacentrus_nagazakiensis,1,0,0,0,0,0,0,0
pomacentrus_nigromanus,0,0,0,0,0,5,0,5
pomacentrus_pavo,1,0,0,0,0,0,0,0
pomacentrus_vauili,1,0,0,0,0,0,0,0
pomacentrus_wardi,1,0,0,0,0,0,0,0
pseudanthiastuka,0,0,0,0,0,1,0,0
pygoplitesdiacanthus,0,0,0,0,0,0,0,3
sargocentron_spiniferum,1,0,0,0,0,0,0,0
scarus_brown,1,0,0,0,0,0,0,0
scarus_dimidiatus,1,0,0,0,0,0,0,0
scarus_ghobban,1,0,0,0,0,0,0,0
scarus_grey,1,0,0,0,0,0,0,0
scarus_microrhinos,1,0,0,0,0,0,0,0
scarus_niger,1,0,0,0,0,0,0,0
scarus_psittacus,1,0,0,0,0,0,0,0
scarus_sordidus,1,0,0,0,0,0,0,0
scolopsis_bilineatus,1,0,0,0,0,0,0,0
scolopsis_margaritifer,1,0,0,0,0,0,0,0
siganus_doliatus,1,0,0,0,0,0,0,0
siganus_lineatus,1,0,0,0,0,0,0,0
siganus_puellus,1,0,0,0,0,0,0,0
siganus_punctatus,1,0,0,0,0,0,0,0
sphyraena_sp._juv,1,0,0,0,0,0,0,0
stegastes_nigricans,1,0,0,0,0,0,0,0
thalassoma_lunare,1,0,0,0,0,0,0,0
zebrasoma_veliferum,1,0,0,0,0,0,0,0
