clients,diproctacanthus_xanthurus,labroides_dimidiatus,lysmata_amboinensis,ancylomenes_holthuisi,ancylomenes_magnificus,urocaridella_b,urocaridella_c
cheliniustrilobatus,0,0,0,2,0,1,0
epinephelustukula,0,0,0,1,0,0,0
goby,0,0,0,5,0,0,0
heniochusdiphreutes,0,0,0,4,0,0,0
neopomabankieri,0,0,2,0,0,0,0
parapercissp,0,0,0,1,0,0,0
parupleurostigma,0,0,0,1,0,0,0
paustralis,0,0,3,7,0,1,0
plataxteira,0,0,0,1,0,0,0
plectoralbovittatus,0,0,0,0,0,1,0
pomacentrid,0,0,0,1,0,0,0
pomamoluccensis,0,0,1,1,0,0,0
scolopsisbilineatus,0,0,0,1,0,0,0
scolopsismonogramma,0,0,0,1,0,0,0
sdoliatus,0,0,0,2,0,0,0
synodusdermatogenys,0,0,0,2,0,0,0
taeniuralymma,0,0,0,0,0,1,0
acanthusnigricaudus,0,0,0,0,0,0,1
apofragilis,0,0,0,0,0,1,1
apogonendekataena,0,0,0,0,0,1,1
apogonichthysocellatus,0,0,0,0,0,0,1
apogonleptacanthus,0,0,0,0,0,1,1
apogragilis,0,0,0,0,0,0,1
archamiafucata,0,0,0,0,0,0,1
cephalopholisargus,0,0,0,0,0,1,1
cheilodipterusquinquelineatus,0,0,0,1,0,0,1
chromisiomelas,0,0,0,0,0,0,1
cromileptesaltivelis,0,0,0,0,0,0,1
ctenochaetusstriatus,0,0,0,0,0,2,1
plectorhinchuslineatus,0,0,0,0,0,0,1
plectropomuslaevis,0,0,0,0,0,0,1
pomacoelestis,0,0,1,0,0,0,1
pseudochromispaccagnellae,0,0,0,0,0,0,1
pteroisvolitans,0,0,0,0,0,0,1
sargocentronrubrum,0,0,0,0,0,0,1
slineatus,0,0,0,3,3,2,1
assessormacneilli,0,0,0,0,0,1,2
lutjanuscarponotatus,0,0,0,0,0,0,2
neopomacyanomos,0,0,0,0,0,0,2
plecthorchaeto,0,0,0,0,0,1,2
apagonid,0,0,1,0,0,1,3
dpictum,0,0,0,53,1,4,3
plectropomusmaculatus,0,0,0,2,0,1,3
plectorcelebicus,0,0,0,9,0,2,4
sargocentronspiniferum,0,0,0,0,0,1,4
cminiata,0,0,0,0,0,2,5
pomacanthussextriatus,0,0,0,2,0,2,5
apodoederleini,0,0,0,1,0,5,6
ccyanostigma,0,0,0,4,0,11,18
cboenak,0,0,0,1,0,10,23
